"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CHM00056187","WENJIANG, CH","2004-01-01","0.00",,"44","55","35"
"CHM00056187","WENJIANG, CH","2004-01-02","0.00",,"44","55","33"
"CHM00056187","WENJIANG, CH","2004-01-03","0.00",,"46","53","42"
"CHM00056187","WENJIANG, CH","2004-01-04","0.00",,"47","53","43"
"CHM00056187","WENJIANG, CH","2004-01-05","0.00",,"46","52","43"
"CHM00056187","WENJIANG, CH","2004-01-06","0.00",,"44","54","35"
"CHM00056187","WENJIANG, CH","2004-01-07","0.00",,"48","53","45"
"CHM00056187","WENJIANG, CH","2004-01-08","0.00",,"45","49","44"
"CHM00056187","WENJIANG, CH","2004-01-09","0.04",,"45","47","43"
"CHM00056187","WENJIANG, CH","2004-01-10","0.00",,"49","55","44"
"CHM00056187","WENJIANG, CH","2004-01-11","0.31",,"47","51","46"
"CHM00056187","WENJIANG, CH","2004-01-12","0.03",,"45","47","44"
"CHM00056187","WENJIANG, CH","2004-01-13","0.07",,"45","46","44"
"CHM00056187","WENJIANG, CH","2004-01-14","0.09",,"44","45","42"
"CHM00056187","WENJIANG, CH","2004-01-15","0.04",,"43","48","41"
"CHM00056187","WENJIANG, CH","2004-01-16","0.00",,"44","49","39"
"CHM00056187","WENJIANG, CH","2004-01-17","0.00",,"44","46","42"
"CHM00056187","WENJIANG, CH","2004-01-18","0.00",,"42","44","40"
"CHM00056187","WENJIANG, CH","2004-01-19","0.02",,"38","41","36"
"CHM00056187","WENJIANG, CH","2004-01-20","0.09",,"38","44","34"
"CHM00056187","WENJIANG, CH","2004-01-21","0.00",,"38","48","28"
"CHM00056187","WENJIANG, CH","2004-01-22","0.00",,"39","42","37"
"CHM00056187","WENJIANG, CH","2004-01-23","0.00",,"41","49","34"
"CHM00056187","WENJIANG, CH","2004-01-24","0.00",,"39","43","34"
"CHM00056187","WENJIANG, CH","2004-01-25","0.06",,"36","39","35"
"CHM00056187","WENJIANG, CH","2004-01-26","0.06",,"38","45","33"
"CHM00056187","WENJIANG, CH","2004-01-27","0.00",,"40","47","33"
"CHM00056187","WENJIANG, CH","2004-01-28","0.03",,"42","45","39"
"CHM00056187","WENJIANG, CH","2004-01-29","0.00",,"44","53","34"
"CHM00056187","WENJIANG, CH","2004-01-30","0.00",,"44","48","43"
"CHM00056187","WENJIANG, CH","2004-01-31","0.00",,"47","55","43"
"CHM00056187","WENJIANG, CH","2004-02-01","0.00",,"43","47","42"
"CHM00056187","WENJIANG, CH","2004-02-02","0.00",,"41","45","39"
"CHM00056187","WENJIANG, CH","2004-02-03","0.00",,"41","48","37"
"CHM00056187","WENJIANG, CH","2004-02-04","0.00",,"38","45","31"
"CHM00056187","WENJIANG, CH","2004-02-05","0.00",,"38","46","34"
"CHM00056187","WENJIANG, CH","2004-02-06","0.01",,"41","48","34"
"CHM00056187","WENJIANG, CH","2004-02-07","0.00",,"40","47","33"
"CHM00056187","WENJIANG, CH","2004-02-08","0.00",,"38","47","31"
"CHM00056187","WENJIANG, CH","2004-02-09","0.00",,"40","42","39"
"CHM00056187","WENJIANG, CH","2004-02-10","0.00",,"41","48","35"
"CHM00056187","WENJIANG, CH","2004-02-11","0.00",,"45","55","41"
"CHM00056187","WENJIANG, CH","2004-02-12","0.00",,"46","59","37"
"CHM00056187","WENJIANG, CH","2004-02-13","0.00",,"44","58","34"
"CHM00056187","WENJIANG, CH","2004-02-14","0.00",,"45","54","38"
"CHM00056187","WENJIANG, CH","2004-02-15","0.00",,"47","63","34"
"CHM00056187","WENJIANG, CH","2004-02-16","0.00",,"53","61","47"
"CHM00056187","WENJIANG, CH","2004-02-17","0.00",,"51","65","41"
"CHM00056187","WENJIANG, CH","2004-02-18","0.00",,"50","65","39"
"CHM00056187","WENJIANG, CH","2004-02-19","0.00",,"53","57","49"
"CHM00056187","WENJIANG, CH","2004-02-20","0.00",,"53","64","43"
"CHM00056187","WENJIANG, CH","2004-02-21","0.00",,"57","66","49"
"CHM00056187","WENJIANG, CH","2004-02-22","0.00",,"54","66","43"
"CHM00056187","WENJIANG, CH","2004-02-23","0.06",,"51","57","49"
"CHM00056187","WENJIANG, CH","2004-02-24","0.00",,"52","60","46"
"CHM00056187","WENJIANG, CH","2004-02-25","0.00",,"49","64","38"
"CHM00056187","WENJIANG, CH","2004-02-26","0.00",,"55","64","46"
"CHM00056187","WENJIANG, CH","2004-02-27","0.00",,"53","59","48"
"CHM00056187","WENJIANG, CH","2004-02-28","0.00",,"57","68","51"
"CHM00056187","WENJIANG, CH","2004-02-29","0.02",,"54","58","51"
"CHM00056187","WENJIANG, CH","2004-03-01","0.09",,"49","54","46"
"CHM00056187","WENJIANG, CH","2004-03-02","0.35",,"48","56","44"
"CHM00056187","WENJIANG, CH","2004-03-03","0.00",,"46","50","43"
"CHM00056187","WENJIANG, CH","2004-03-04","0.00",,"45","58","33"
"CHM00056187","WENJIANG, CH","2004-03-05","0.00",,"52","61","44"
"CHM00056187","WENJIANG, CH","2004-03-06","0.16",,"49","55","47"
"CHM00056187","WENJIANG, CH","2004-03-07","0.15",,"48","51","46"
"CHM00056187","WENJIANG, CH","2004-03-08","0.00",,"47","57","40"
"CHM00056187","WENJIANG, CH","2004-03-09","0.00",,"52","57","47"
"CHM00056187","WENJIANG, CH","2004-03-10","0.00",,"57","68","49"
"CHM00056187","WENJIANG, CH","2004-03-11","0.00",,"55","61","53"
"CHM00056187","WENJIANG, CH","2004-03-12","0.00",,"54","62","48"
"CHM00056187","WENJIANG, CH","2004-03-13","0.00",,"57","65","51"
"CHM00056187","WENJIANG, CH","2004-03-14","0.02",,"58","70","49"
"CHM00056187","WENJIANG, CH","2004-03-15","0.00",,"62","71","57"
"CHM00056187","WENJIANG, CH","2004-03-16","0.00",,"64","74","57"
"CHM00056187","WENJIANG, CH","2004-03-17","0.00",,"66","76","60"
"CHM00056187","WENJIANG, CH","2004-03-18","0.00",,"61","69","54"
"CHM00056187","WENJIANG, CH","2004-03-19","0.07",,"54","61","53"
"CHM00056187","WENJIANG, CH","2004-03-20","0.09",,"51","54","50"
"CHM00056187","WENJIANG, CH","2004-03-21","0.00",,"52","61","42"
"CHM00056187","WENJIANG, CH","2004-03-22","0.04",,"53","60","49"
"CHM00056187","WENJIANG, CH","2004-03-23","0.32",,"54","63","48"
"CHM00056187","WENJIANG, CH","2004-03-24","0.18",,"54","56","52"
"CHM00056187","WENJIANG, CH","2004-03-25","0.33",,"53","60","49"
"CHM00056187","WENJIANG, CH","2004-03-26","0.04",,"53","57","51"
"CHM00056187","WENJIANG, CH","2004-03-27","0.02",,"55","62","50"
"CHM00056187","WENJIANG, CH","2004-03-28","0.00",,"57","62","54"
"CHM00056187","WENJIANG, CH","2004-03-29","0.01",,"58","67","52"
"CHM00056187","WENJIANG, CH","2004-03-30","0.17",,"56","59","55"
"CHM00056187","WENJIANG, CH","2004-03-31","0.01",,"57","65","48"
"CHM00056187","WENJIANG, CH","2004-04-01","0.00",,"59","71","50"
"CHM00056187","WENJIANG, CH","2004-04-02","0.00",,"60","67","54"
"CHM00056187","WENJIANG, CH","2004-04-03","0.00",,"63","81","50"
"CHM00056187","WENJIANG, CH","2004-04-04","0.03",,"65","79","53"
"CHM00056187","WENJIANG, CH","2004-04-05","0.09",,"68","80","58"
"CHM00056187","WENJIANG, CH","2004-04-06","0.87",,"63","74","57"
"CHM00056187","WENJIANG, CH","2004-04-07","0.00",,"60","67","54"
"CHM00056187","WENJIANG, CH","2004-04-08","0.00",,"56","61","54"
"CHM00056187","WENJIANG, CH","2004-04-09","0.11",,"57","66","53"
"CHM00056187","WENJIANG, CH","2004-04-10","0.00",,"61","69","56"
"CHM00056187","WENJIANG, CH","2004-04-11","0.08",,"62","67","58"
"CHM00056187","WENJIANG, CH","2004-04-12","0.00",,"63","71","58"
"CHM00056187","WENJIANG, CH","2004-04-13","0.13",,"62","69","58"
"CHM00056187","WENJIANG, CH","2004-04-14","0.15",,"56","60","55"
"CHM00056187","WENJIANG, CH","2004-04-15","0.00",,"58","69","48"
"CHM00056187","WENJIANG, CH","2004-04-16","0.00",,"62","74","50"
"CHM00056187","WENJIANG, CH","2004-04-17","0.00",,"64","80","54"
"CHM00056187","WENJIANG, CH","2004-04-18","0.00",,"66","84","49"
"CHM00056187","WENJIANG, CH","2004-04-19","0.00",,"69","87","53"
"CHM00056187","WENJIANG, CH","2004-04-20","0.00",,"71","87","60"
"CHM00056187","WENJIANG, CH","2004-04-21","0.00",,"75","90","62"
"CHM00056187","WENJIANG, CH","2004-04-22","0.00",,"76","89","65"
"CHM00056187","WENJIANG, CH","2004-04-23","1.79",,"68","79","66"
"CHM00056187","WENJIANG, CH","2004-04-24","0.11",,"64","67","63"
"CHM00056187","WENJIANG, CH","2004-04-25","0.00",,"62","64","61"
"CHM00056187","WENJIANG, CH","2004-04-26","0.16",,"69","82","61"
"CHM00056187","WENJIANG, CH","2004-04-27","0.00",,"69","83","58"
"CHM00056187","WENJIANG, CH","2004-04-28","0.00",,"71","85","59"
"CHM00056187","WENJIANG, CH","2004-04-29","0.00",,"75","87","63"
"CHM00056187","WENJIANG, CH","2004-04-30","0.00",,"73","82","68"
"CHM00056187","WENJIANG, CH","2004-05-01","2.93",,"69","76","67"
"CHM00056187","WENJIANG, CH","2004-05-02","1.11",,"63","68","56"
"CHM00056187","WENJIANG, CH","2004-05-03","0.28",,"53","56","51"
"CHM00056187","WENJIANG, CH","2004-05-04","0.00",,"61","71","51"
"CHM00056187","WENJIANG, CH","2004-05-05","0.00",,"65","79","55"
"CHM00056187","WENJIANG, CH","2004-05-06","0.00",,"69","80","60"
"CHM00056187","WENJIANG, CH","2004-05-07","0.03",,"68","79","60"
"CHM00056187","WENJIANG, CH","2004-05-08","0.00",,"69","84","56"
"CHM00056187","WENJIANG, CH","2004-05-09","0.00",,"72","84","64"
"CHM00056187","WENJIANG, CH","2004-05-10","0.00",,"74","84","65"
"CHM00056187","WENJIANG, CH","2004-05-11","0.36",,"70","77","66"
"CHM00056187","WENJIANG, CH","2004-05-12","0.00",,"72","85","61"
"CHM00056187","WENJIANG, CH","2004-05-13","1.74",,"66","72","62"
"CHM00056187","WENJIANG, CH","2004-05-14","0.49",,"65","71","59"
"CHM00056187","WENJIANG, CH","2004-05-15","0.00",,"70","77","63"
"CHM00056187","WENJIANG, CH","2004-05-16","0.00",,"70","76","65"
"CHM00056187","WENJIANG, CH","2004-05-17","0.00",,"71","81","61"
"CHM00056187","WENJIANG, CH","2004-05-18","0.00",,"71","77","67"
"CHM00056187","WENJIANG, CH","2004-05-19","0.00",,"73","84","63"
"CHM00056187","WENJIANG, CH","2004-05-20","0.00",,"75","86","64"
"CHM00056187","WENJIANG, CH","2004-05-21","0.00",,"77","89","65"
"CHM00056187","WENJIANG, CH","2004-05-22","0.00",,"74","81","71"
"CHM00056187","WENJIANG, CH","2004-05-23","0.04",,"66","72","63"
"CHM00056187","WENJIANG, CH","2004-05-24","0.02",,"66","70","63"
"CHM00056187","WENJIANG, CH","2004-05-25","0.00",,"70","76","65"
"CHM00056187","WENJIANG, CH","2004-05-26","0.00",,"72","79","67"
"CHM00056187","WENJIANG, CH","2004-05-27","0.00",,"76","87","68"
"CHM00056187","WENJIANG, CH","2004-05-28","0.00",,"78","86","72"
"CHM00056187","WENJIANG, CH","2004-05-29","0.00",,"74","81","71"
"CHM00056187","WENJIANG, CH","2004-05-30","0.21",,"69","74","66"
"CHM00056187","WENJIANG, CH","2004-05-31","0.00",,"71","78","65"
"CHM00056187","WENJIANG, CH","2004-06-01","0.00",,"71","81","65"
"CHM00056187","WENJIANG, CH","2004-06-02","0.00",,"69","74","67"
"CHM00056187","WENJIANG, CH","2004-06-03","0.10",,"69","74","64"
"CHM00056187","WENJIANG, CH","2004-06-04","0.01",,"70","75","67"
"CHM00056187","WENJIANG, CH","2004-06-05","0.14",,"72","82","64"
"CHM00056187","WENJIANG, CH","2004-06-06","0.00",,"73","81","68"
"CHM00056187","WENJIANG, CH","2004-06-07","0.00",,"75","85","68"
"CHM00056187","WENJIANG, CH","2004-06-08","0.00",,"76","85","69"
"CHM00056187","WENJIANG, CH","2004-06-09","0.87",,"66","76","62"
"CHM00056187","WENJIANG, CH","2004-06-10","0.44",,"63","67","61"
"CHM00056187","WENJIANG, CH","2004-06-11","0.04",,"63","63","62"
"CHM00056187","WENJIANG, CH","2004-06-12","0.02",,"64","68","60"
"CHM00056187","WENJIANG, CH","2004-06-13","0.42",,"68","76","63"
"CHM00056187","WENJIANG, CH","2004-06-14","0.11",,"71","76","65"
"CHM00056187","WENJIANG, CH","2004-06-15","0.02",,"75","84","69"
"CHM00056187","WENJIANG, CH","2004-06-16","0.00",,"76","86","68"
"CHM00056187","WENJIANG, CH","2004-06-17","1.11",,"70","81","66"
"CHM00056187","WENJIANG, CH","2004-06-18","0.00",,"72","81","65"
"CHM00056187","WENJIANG, CH","2004-06-19","0.00",,"71","77","67"
"CHM00056187","WENJIANG, CH","2004-06-20","0.00",,"72","79","64"
"CHM00056187","WENJIANG, CH","2004-06-21","0.00",,"73","81","66"
"CHM00056187","WENJIANG, CH","2004-06-22","0.00",,"72","78","67"
"CHM00056187","WENJIANG, CH","2004-06-23","0.03",,"74","81","68"
"CHM00056187","WENJIANG, CH","2004-06-24","0.03",,"79","89","68"
"CHM00056187","WENJIANG, CH","2004-06-25","0.00",,"80","88","74"
"CHM00056187","WENJIANG, CH","2004-06-26","0.00",,"81","87","75"
"CHM00056187","WENJIANG, CH","2004-06-27","0.03",,"78","84","74"
"CHM00056187","WENJIANG, CH","2004-06-28","0.30",,"77","81","73"
"CHM00056187","WENJIANG, CH","2004-06-29","0.05",,"79","86","75"
"CHM00056187","WENJIANG, CH","2004-06-30","5.10",,"74","81","71"
"CHM00056187","WENJIANG, CH","2004-07-01","0.00",,"77","89","69"
"CHM00056187","WENJIANG, CH","2004-07-02","0.00",,"79","87","72"
"CHM00056187","WENJIANG, CH","2004-07-03","0.00",,"78","87","68"
"CHM00056187","WENJIANG, CH","2004-07-04","0.10",,"75","82","71"
"CHM00056187","WENJIANG, CH","2004-07-05","0.00",,"78","89","67"
"CHM00056187","WENJIANG, CH","2004-07-06","0.00",,"79","90","69"
"CHM00056187","WENJIANG, CH","2004-07-07","0.00",,"81","90","72"
"CHM00056187","WENJIANG, CH","2004-07-08","0.00",,"77","83","74"
"CHM00056187","WENJIANG, CH","2004-07-09","0.04",,"73","78","69"
"CHM00056187","WENJIANG, CH","2004-07-10","0.12",,"78","88","68"
"CHM00056187","WENJIANG, CH","2004-07-11","0.00",,"79","92","67"
"CHM00056187","WENJIANG, CH","2004-07-12","0.00",,"81","92","71"
"CHM00056187","WENJIANG, CH","2004-07-13","0.00",,"79","88","74"
"CHM00056187","WENJIANG, CH","2004-07-14","0.00",,"73","81","67"
"CHM00056187","WENJIANG, CH","2004-07-15","0.00",,"74","80","69"
